,Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio
0,Large Cap - LSTM,0.34778546446893077,0.21884310694360676,1.5886151011305003
1,Mid Cap - LSTM,0.347194436485228,0.3181079203857813,1.0910336217480145
2,Small Cap - LSTM,0.2735886154528159,0.3945690856327354,0.6930614318511329
3,Large Cap - MPT,0.3215690177138613,0.33225876935328896,0.9674417874342838
4,Mid Cap - MPT,0.22782531739528608,0.27703429272271407,0.8219102233065068
5,Small Cap - MPT,-0.07830886462496345,0.29556019922919813,-0.2653837182053663
6,S&P 500,0.12349441770517304,0.17515651165108195,0.7043210471725045
